2012/07,28
2012/08,16
2012/09,17
2012/10,9
2012/11,14
2012/12,13
2013/01,16
2013/02,11
2013/03,29
2013/04,19
2013/05,10
2013/06,15
2013/07,17
2013/08,15
2013/09,22
2013/10,16
2013/11,15
2013/12,17
2014/01,15
2014/02,14
2014/03,18
2014/04,15
2014/05,14
2014/06,18
2014/07,22
2014/08,18
2014/09,21
2014/10,26
2014/11,21
2014/12,15
2015/01,10
2015/02,10
2015/03,17
2015/04,15
2015/05,16
2015/06,31
2015/07,23
2015/08,16
2015/09,18
2015/10,23
2015/11,18
2015/12,19
2016/01,19
2016/02,16
2016/03,9
