2012/07,24
2012/08,35
2012/09,23
2012/10,21
2012/11,27
2012/12,35
2013/01,22
2013/02,26
2013/03,28
2013/04,29
2013/05,34
2013/06,33
2013/07,29
2013/08,23
2013/09,24
2013/10,20
2013/11,39
2013/12,29
2014/01,30
2014/02,24
2014/03,24
2014/04,32
2014/05,35
2014/06,29
2014/07,42
2014/08,38
2014/09,43
2014/10,37
2014/11,30
2014/12,29
2015/01,31
2015/02,22
2015/03,31
2015/04,39
2015/05,43
2015/06,31
2015/07,33
2015/08,50
2015/09,46
2015/10,30
2015/11,30
2015/12,34
2016/01,33
2016/02,36
2016/03,14
